_id,competitor
62702abb1e89404ee7ae61b8,62005d417222c33359c8ea81
62702abb1e89404ee7ae61b6,62005d417222c33359c8ea81
62702abb1e89404ee7ae61b9,62005d417222c33359c8ea81
62702abb1e89404ee7ae61ba,62005d417222c33359c8ea81
62702abb1e89404ee7ae61bd,62005d417222c33359c8ea81
62702abb1e89404ee7ae61bb,62005d417222c33359c8ea81
62702abb1e89404ee7ae61bc,62005d417222c33359c8ea81
62702ac11e89404ee7ae61cc,62005d417222c33359c8ea01
62702ac11e89404ee7ae61cd,62005d417222c33359c8ea01
62702ac11e89404ee7ae61cb,62005d417222c33359c8ea01
62702ac11e89404ee7ae61c9,62005d417222c33359c8ea01
62702ac11e89404ee7ae61ca,62005d417222c33359c8ea01
62702ac11e89404ee7ae61cf,62005d417222c33359c8ea01
62702ac11e89404ee7ae61ce,62005d417222c33359c8ea01
62702ac11e89404ee7ae61c8,62005d417222c33359c8ea01
62702ac71e89404ee7ae61da,62005d487222c33359c8f920
62702ac71e89404ee7ae61dc,62005d487222c33359c8f920
62702ac71e89404ee7ae61db,62005d487222c33359c8f920
62702ac71e89404ee7ae61dd,62005d487222c33359c8f920
62702ac71e89404ee7ae61e1,62005d487222c33359c8f920
62702ac71e89404ee7ae61de,62005d487222c33359c8f920
62702ac71e89404ee7ae61e0,62005d487222c33359c8f920
62702ac71e89404ee7ae61df,62005d487222c33359c8f920
62702acd1e89404ee7ae61ec,621b88943e8e7f7628487d3c
62702acd1e89404ee7ae61ed,621b88943e8e7f7628487d3c
62702acd1e89404ee7ae61ee,621b88943e8e7f7628487d3c
62702acd1e89404ee7ae61f3,621b88943e8e7f7628487d3c
62702acd1e89404ee7ae61f2,621b88943e8e7f7628487d3c
62702acd1e89404ee7ae61ef,621b88943e8e7f7628487d3c
62702acd1e89404ee7ae61f1,621b88943e8e7f7628487d3c
62702acd1e89404ee7ae61f0,621b88943e8e7f7628487d3c
62702ad31e89404ee7ae6201,62005d487222c33359c8f980
62702ad31e89404ee7ae61fe,62005d487222c33359c8f980
62702ad31e89404ee7ae6200,62005d487222c33359c8f980
62702ad31e89404ee7ae61ff,62005d487222c33359c8f980
62702ad31e89404ee7ae6202,62005d487222c33359c8f980
62702ad31e89404ee7ae6204,62005d487222c33359c8f980
